,answer,groups,imageId,question,entailed,equivalent,local_question_group,local_question_group_clean,global_question_group
08694347,ocean,"{'global': 'place', 'local': '02q-place'}",2379133,What place is this?,['08694348'],['08694347'],02q-place,place,place
17605681,walkway,"{'global': 'road', 'local': '02q-place'}",2374524,Which place is it?,['17605680'],['17605681'],02q-place,place,road
12636045,pavement,"{'global': 'road', 'local': '02q-place'}",1462,Where was the photo taken?,['12636046'],['12636045'],02q-place,place,road
10247804,sidewalk,"{'global': 'road', 'local': '02q-place'}",2365128,Where was the picture taken?,['10247805'],['10247804'],02q-place,place,road
05135728,airport,"{'global': 'place', 'local': '02q-place'}",2362830,Which place is it?,"['05135729', '05135730', '05135731', '05135727']",['05135728'],02q-place,place,place
12411199,lake,"{'global': 'place', 'local': '02q-place'}",2324579,Which place is it?,['12411198'],['12411199'],02q-place,place,place
13672325,field,"{'global': 'place', 'local': '02q-place'}",2340717,Which place is it?,"['13672328', '13672324', '13672326', '13672327', '13672323']",['13672325'],02q-place,place,place
09288523,airport,"{'global': 'place', 'local': '02q-place'}",2351758,Which place is it?,"['09288527', '09288526', '09288525', '09288524', '09288522', '09288521', '09288520', '09288528']",['09288523'],02q-place,place,place
08962730,road,"{'global': 'road', 'local': '02q-place'}",2375350,Which place is it?,['08962729'],['08962730'],02q-place,place,road
16440811,beach,"{'global': 'place', 'local': '02q-place'}",2324974,Which place is it?,"['16440814', '16440810', '16440813', '16440812', '16440809']",['16440811'],02q-place,place,place
17987206,pavement,"{'global': 'road', 'local': '02q-place'}",2326106,What place is pictured?,"['17987207', '17987208']","['17987206', '17987207']",02q-place,place,road
02366693,road,"{'global': 'road', 'local': '02q-place'}",4979,Which place is it?,['02366692'],['02366693'],02q-place,place,road
00186659,road,"{'global': 'road', 'local': '02q-place'}",2322505,Which place is it?,['00186658'],['00186659'],02q-place,place,road
11815725,road,"{'global': 'road', 'local': '02q-place'}",2345796,Which venue is this?,['11815726'],['11815725'],02q-place,place,road
04690249,hotel room,"{'global': 'place', 'local': '02q-place'}",2403013,What place is it?,['04690250'],['04690249'],02q-place,place,place
031039255,ocean,"{'global': 'place', 'local': '02q-place'}",2316606,Which place could this be?,"['031039257', '031039256']","['031039256', '031039255']",02q-place,place,place
031039257,ocean,"{'global': 'place', 'local': '02q-place'}",2316606,Which place is it?,"['031039256', '031039255']",['031039257'],02q-place,place,place
03580988,street,"{'global': 'place', 'local': '02q-place'}",2366786,Which place is it?,['03580987'],['03580988'],02q-place,place,place
16716506,skate park,"{'global': 'place', 'local': '02q-place'}",2347842,What place does this represent?,['16716507'],['16716506'],02q-place,place,place
04893168,skate park,"{'global': 'place', 'local': '02q-place'}",2316066,What kind of place is shown?,['04893169'],['04893168'],02q-place,place,place
05526843,beach,"{'global': 'place', 'local': '02q-place'}",2400277,Which place is it?,"['05526842', '05526845', '05526844', '05526846']",['05526843'],02q-place,place,place
16756941,sea,"{'global': 'place', 'local': '02q-place'}",1891,Which place is it?,['16756940'],['16756941'],02q-place,place,place
13691833,shore,"{'global': 'place', 'local': '02q-place'}",2397052,Which place is it?,['13691832'],['13691833'],02q-place,place,place
13691832,shore,"{'global': 'place', 'local': '02q-place'}",2397052,What place could this be?,['13691833'],['13691832'],02q-place,place,place
16362430,street,"{'global': 'place', 'local': '02q-place'}",2362071,Which place is it?,['16362429'],['16362430'],02q-place,place,place
02639767,street,"{'global': 'place', 'local': '02q-place'}",2363344,Which place is it?,['02639766'],['02639767'],02q-place,place,place
02639766,street,"{'global': 'place', 'local': '02q-place'}",2363344,Which place is this photo in?,['02639767'],['02639766'],02q-place,place,place
17510502,highway,"{'global': 'road', 'local': '02q-place'}",2353740,Which place is it?,['17510501'],['17510502'],02q-place,place,road
17510501,highway,"{'global': 'road', 'local': '02q-place'}",2353740,What do you think is the image showing?,['17510502'],['17510501'],02q-place,place,road
001027653,parking lot,"{'global': 'place', 'local': '02q-place'}",1159523,Which place is it?,"['001027658', '001027654', '001027655', '001027656', '001027657', '001027652']",['001027653'],02q-place,place,place
01699291,pavement,"{'global': 'road', 'local': '02q-place'}",2335560,Which place is it?,['01699290'],['01699291'],02q-place,place,road
04907505,beach,"{'global': 'place', 'local': '02q-place'}",2386529,Which place is it?,"['04907509', '04907508', '04907510', '04907503', '04907504', '04907507', '04907506']",['04907505'],02q-place,place,place
10369639,field,"{'global': 'place', 'local': '02q-place'}",2371343,Which place is it?,"['10369640', '10369641', '10369642', '10369643', '10369644', '10369645', '10369638']",['10369639'],02q-place,place,place
16451212,lawn,"{'global': 'place', 'local': '02q-place'}",2322395,What place was the photo taken at?,['16451213'],['16451212'],02q-place,place,place
17576244,lake,"{'global': 'place', 'local': '02q-place'}",2350628,What place was the photo taken at?,['17576245'],['17576244'],02q-place,place,place
18373248,hotel,"{'global': 'place', 'local': '02q-place'}",2343619,Which place is it?,"['18373249', '18373247', '18373250', '18373251', '18373252']",['18373248'],02q-place,place,place
03248628,runway,"{'global': 'road', 'local': '02q-place'}",2409310,Which place is it?,['03248627'],['03248628'],02q-place,place,road
11583372,sidewalk,"{'global': 'road', 'local': '02q-place'}",2963,Which place is it?,['11583371'],['11583372'],02q-place,place,road
04548929,pen,"{'global': '', 'local': '02q-place'}",2355993,Where was the photo taken?,['04548930'],['04548929'],02q-place,place,
051028536,ocean,"{'global': 'place', 'local': '02q-place'}",2404093,Which place is it?,['051028535'],['051028536'],02q-place,place,place
0738908,forest,"{'global': 'place', 'local': '02q-place'}",2336148,Which place is it?,"['0738909', '0738907', '0738911', '0738912', '0738910']",['0738908'],02q-place,place,place
09424426,sidewalk,"{'global': 'road', 'local': '02q-place'}",2390583,What place is shown?,['09424427'],['09424426'],02q-place,place,road
10306932,pavement,"{'global': 'road', 'local': '02q-place'}",2353844,What type of place is it?,['10306933'],['10306932'],02q-place,place,road
10306933,pavement,"{'global': 'road', 'local': '02q-place'}",2353844,Which place is it?,['10306932'],['10306933'],02q-place,place,road
17965328,street,"{'global': 'place', 'local': '02q-place'}",2804,What is the photo showing?,['17965329'],['17965328'],02q-place,place,place
17624376,road,"{'global': 'road', 'local': '02q-place'}",2380579,What place is the image in?,['17624377'],['17624376'],02q-place,place,road
11989336,road,"{'global': 'road', 'local': '02q-place'}",2386114,Which place is it?,['11989335'],['11989336'],02q-place,place,road
05849341,road,"{'global': 'road', 'local': '02q-place'}",2368591,What place is the picture in?,['05849342'],['05849341'],02q-place,place,road
076725,pavement,"{'global': 'road', 'local': '02q-place'}",2330073,Which place is this image at?,['076726'],['076725'],02q-place,place,road
1131469,roadway,"{'global': 'road', 'local': '02q-place'}",2332705,What is the photo showing?,"['1131468', '1131470']","['1131469', '1131468']",02q-place,place,road
141051834,field,"{'global': 'place', 'local': '02q-place'}",2334680,Which place is it?,"['141051835', '141051837', '141051836', '141051833']",['141051834'],02q-place,place,place
0723694,runway,"{'global': 'road', 'local': '02q-place'}",2337715,What place is the photo at?,"['0723693', '0723695']","['0723693', '0723694']",02q-place,place,road
0723695,runway,"{'global': 'road', 'local': '02q-place'}",2337715,Which place is it?,"['0723693', '0723694']",['0723695'],02q-place,place,road
12151645,field,"{'global': 'place', 'local': '02q-place'}",2324595,Which place is it?,"['12151648', '12151644', '12151647', '12151646', '12151643']",['12151645'],02q-place,place,place
06294678,pavement,"{'global': 'road', 'local': '02q-place'}",1592081,Which place is it?,"['06294676', '06294677']",['06294678'],02q-place,place,road
10525953,hotel,"{'global': 'place', 'local': '02q-place'}",2343953,Which place is it?,"['10525956', '10525954', '10525955', '10525952']",['10525953'],02q-place,place,place
11166366,place,"{'global': 'place', 'local': '02q-place'}",2374922,What type of place is this?,"['11166365', '11166367', '11166368', '11166369']","['11166366', '11166365', '11166368', '11166367']",02q-place,place,place
01905176,city,"{'global': 'place', 'local': '02q-place'}",3409,Which place is it?,"['01905177', '01905175', '01905182', '01905181', '01905180', '01905178', '01905179']",['01905176'],02q-place,place,place
14808428,ocean,"{'global': 'place', 'local': '02q-place'}",2409173,What place is pictured?,['14808429'],['14808428'],02q-place,place,place
13792543,forest,"{'global': 'place', 'local': '02q-place'}",2397053,Which place is it?,"['13792545', '13792544', '13792547', '13792546', '13792542', '13792548']",['13792543'],02q-place,place,place
06138740,street,"{'global': 'place', 'local': '02q-place'}",2870,Which place is it?,"['06138738', '06138739']",['06138740'],02q-place,place,place
19294862,train station,"{'global': 'place', 'local': '02q-place'}",2333541,Which place is it?,"['19294863', '19294861', '19294866', '19294865', '19294864']",['19294862'],02q-place,place,place
14843990,beach,"{'global': 'place', 'local': '02q-place'}",1159874,Which place is it?,"['14843991', '14843993', '14843992', '14843988', '14843989']",['14843990'],02q-place,place,place
00448399,museum,"{'global': 'place', 'local': '02q-place'}",2394312,Which place is it?,"['00448402', '00448403', '00448400', '00448401', '00448404', '00448398']",['00448399'],02q-place,place,place
1028127,city,"{'global': 'place', 'local': '02q-place'}",3517,Which place is it?,"['1028131', '1028130', '1028128', '1028129', '1028126']",['1028127'],02q-place,place,place
18844697,yard,"{'global': 'place', 'local': '02q-place'}",2410228,Which place is it?,"['18844696', '18844695']",['18844697'],02q-place,place,place
00384271,road,"{'global': 'road', 'local': '02q-place'}",2360203,What place is this?,['00384272'],['00384271'],02q-place,place,road
14249969,pavement,"{'global': 'road', 'local': '02q-place'}",2360873,Which place is the image in?,['14249970'],['14249969'],02q-place,place,road
1679617,river,"{'global': 'place', 'local': '02q-place'}",2360957,Which place is it?,"['1679621', '1679620', '1679622', '1679615', '1679616', '1679618', '1679619']",['1679617'],02q-place,place,place
031010866,runway,"{'global': 'road', 'local': '02q-place'}",2399747,What place could this be?,['031010867'],['031010866'],02q-place,place,road
031010867,runway,"{'global': 'road', 'local': '02q-place'}",2399747,Which place is it?,['031010866'],['031010867'],02q-place,place,road
01942198,street,"{'global': 'place', 'local': '02q-place'}",2376335,What place is shown?,"['01942199', '01942197']","['01942197', '01942198']",02q-place,place,place
09901540,station,"{'global': 'place', 'local': '02q-place'}",2321786,Which place is it?,['09901539'],['09901540'],02q-place,place,place
17956059,road,"{'global': 'road', 'local': '02q-place'}",2355315,What place is this?,['17956060'],['17956059'],02q-place,place,road
14228413,ocean,"{'global': 'place', 'local': '02q-place'}",2384485,Which place is this picture at?,"['14228414', '14228412']","['14228413', '14228412']",02q-place,place,place
07739668,field,"{'global': 'place', 'local': '02q-place'}",2394273,Which place is it?,"['07739670', '07739671', '07739672', '07739669', '07739667', '07739666']",['07739668'],02q-place,place,place
19230890,yard,"{'global': 'place', 'local': '02q-place'}",2349117,Which place is this image in?,['19230891'],['19230890'],02q-place,place,place
13293434,field,"{'global': 'place', 'local': '02q-place'}",2369125,Which place is it?,"['13293438', '13293435', '13293437', '13293436', '13293433', '13293432']",['13293434'],02q-place,place,place
03604909,swimming pool,"{'global': 'place', 'local': '02q-place'}",2337277,Where is this?,['03604910'],['03604909'],02q-place,place,place
18177231,runway,"{'global': 'road', 'local': '02q-place'}",2375525,What type of place is shown?,['18177232'],['18177231'],02q-place,place,road
18177232,runway,"{'global': 'road', 'local': '02q-place'}",2375525,Which place is it?,['18177231'],['18177232'],02q-place,place,road
02706531,garage,"{'global': 'place', 'local': '02q-place'}",1159854,Which place is it?,"['02706535', '02706534', '02706536', '02706530', '02706533', '02706532']",['02706531'],02q-place,place,place
116894,runway,"{'global': 'road', 'local': '02q-place'}",497957,Which place is it?,"['116893', '116892']",['116894'],02q-place,place,road
116893,runway,"{'global': 'road', 'local': '02q-place'}",497957,What place could this be?,"['116892', '116894']","['116893', '116892']",02q-place,place,road
04847823,parking lot,"{'global': 'place', 'local': '02q-place'}",2348043,Which place is it?,"['04847825', '04847824', '04847827', '04847826', '04847822']",['04847823'],02q-place,place,place
05710800,station,"{'global': 'place', 'local': '02q-place'}",2334161,Which place is it?,"['05710798', '05710799']",['05710800'],02q-place,place,place
01142837,pavement,"{'global': 'road', 'local': '02q-place'}",2329977,Which place is it?,"['01142836', '01142835']",['01142837'],02q-place,place,road
01142836,pavement,"{'global': 'road', 'local': '02q-place'}",2329977,What place could this be?,"['01142837', '01142835']","['01142836', '01142835']",02q-place,place,road
05425965,pasture,"{'global': 'place', 'local': '02q-place'}",2388939,Which place is it?,"['05425962', '05425963', '05425964']",['05425965'],02q-place,place,place
05425964,pasture,"{'global': 'place', 'local': '02q-place'}",2388939,What is the picture showing?,"['05425962', '05425963', '05425965']","['05425962', '05425963', '05425964']",02q-place,place,place
04318453,field,"{'global': 'place', 'local': '02q-place'}",2344443,Which place is it?,"['04318455', '04318454', '04318457', '04318456', '04318451', '04318452']",['04318453'],02q-place,place,place
00778625,beach,"{'global': 'place', 'local': '02q-place'}",2342185,Which place is it?,"['00778624', '00778626', '00778627', '00778623', '00778628', '00778629']",['00778625'],02q-place,place,place
08911579,street,"{'global': 'place', 'local': '02q-place'}",2396833,Which place is it?,['08911578'],['08911579'],02q-place,place,place
07945278,zoo,"{'global': 'place', 'local': '02q-place'}",2414289,Which place is it?,"['07945280', '07945282', '07945277', '07945276', '07945279', '07945281']",['07945278'],02q-place,place,place
00755824,ocean,"{'global': 'place', 'local': '02q-place'}",2358485,Which place is it?,['00755823'],['00755824'],02q-place,place,place
00572076,store,"{'global': 'place', 'local': '02q-place'}",2410734,Which place is it?,"['00572080', '00572075', '00572077', '00572079', '00572078']",['00572076'],02q-place,place,place
061020027,ocean,"{'global': 'place', 'local': '02q-place'}",2351896,What place is shown?,['061020028'],['061020027'],02q-place,place,place
12193842,parking lot,"{'global': 'place', 'local': '02q-place'}",2356179,Which place is it?,"['12193845', '12193844', '12193846', '12193841', '12193843']",['12193842'],02q-place,place,place
09483269,street,"{'global': 'place', 'local': '02q-place'}",2382057,What kind of place is this?,['09483270'],['09483269'],02q-place,place,place
09684020,runway,"{'global': 'road', 'local': '02q-place'}",2340723,What place is shown?,['09684021'],['09684020'],02q-place,place,road
161006604,field,"{'global': 'place', 'local': '02q-place'}",2349425,Which place is it?,"['161006608', '161006606', '161006607', '161006605', '161006602', '161006603']",['161006604'],02q-place,place,place
06358305,park,"{'global': 'place', 'local': '02q-place'}",2394569,Which place is it?,"['06358309', '06358308', '06358304', '06358307', '06358306']",['06358305'],02q-place,place,place
17110110,field,"{'global': 'place', 'local': '02q-place'}",2389399,Which place is it?,"['17110112', '17110109', '17110113', '17110111']",['17110110'],02q-place,place,place
01261099,street,"{'global': 'place', 'local': '02q-place'}",2396959,What place is shown?,['01261100'],['01261099'],02q-place,place,place
15909614,city,"{'global': 'place', 'local': '02q-place'}",2385656,Which place is it?,"['15909617', '15909616', '15909615', '15909613', '15909618']",['15909614'],02q-place,place,place
10969308,pavement,"{'global': 'road', 'local': '02q-place'}",2316637,What place is it?,['10969309'],['10969308'],02q-place,place,road
16424846,parking lot,"{'global': 'place', 'local': '02q-place'}",2353122,Which place is it?,"['16424845', '16424847', '16424848', '16424849', '16424852', '16424851', '16424850']",['16424846'],02q-place,place,place
16915932,ocean,"{'global': 'place', 'local': '02q-place'}",2359822,What place was the photo taken at?,['16915933'],['16915932'],02q-place,place,place
17810157,hallway,"{'global': 'place', 'local': '02q-place'}",2342510,Which place is it?,"['17810159', '17810158', '17810160', '17810156']",['17810157'],02q-place,place,place
19108758,sea,"{'global': 'place', 'local': '02q-place'}",2329909,Which place is shown?,['19108759'],['19108758'],02q-place,place,place
11253262,sidewalk,"{'global': 'road', 'local': '02q-place'}",498274,What place is it?,['11253263'],['11253262'],02q-place,place,road
02609125,market,"{'global': 'place', 'local': '02q-place'}",2366957,Where was the image taken?,['02609126'],['02609125'],02q-place,place,place
02609126,market,"{'global': 'place', 'local': '02q-place'}",2366957,Which place is it?,['02609125'],['02609126'],02q-place,place,place
05586414,walkway,"{'global': 'road', 'local': '02q-place'}",2410778,Which place is it?,"['05586412', '05586413']",['05586414'],02q-place,place,road
14125862,hotel,"{'global': 'place', 'local': '02q-place'}",2408269,Which place is it?,"['14125866', '14125867', '14125864', '14125865', '14125863', '14125861']",['14125862'],02q-place,place,place
08915579,market,"{'global': 'place', 'local': '02q-place'}",2355823,What type of place do you think it is?,['08915580'],['08915579'],02q-place,place,place
1726520,store,"{'global': 'place', 'local': '02q-place'}",2396179,Which place is it?,"['1726524', '1726518', '1726522', '1726523', '1726521', '1726519', '1726525']",['1726520'],02q-place,place,place
07934916,field,"{'global': 'place', 'local': '02q-place'}",2364352,Which place is it?,"['07934920', '07934914', '07934915', '07934917', '07934918', '07934919']",['07934916'],02q-place,place,place
13280240,store,"{'global': 'place', 'local': '02q-place'}",2373486,Which place is it?,"['13280239', '13280244', '13280242', '13280243', '13280241']",['13280240'],02q-place,place,place
07367666,street,"{'global': 'place', 'local': '02q-place'}",2404754,What place was the photo taken at?,"['07367667', '07367668', '07367669']","['07367666', '07367667', '07367668']",02q-place,place,place
13101760,restaurant,"{'global': 'place', 'local': '02q-place'}",2321533,Which place is it?,"['13101759', '13101764', '13101763', '13101762', '13101761']",['13101760'],02q-place,place,place
02810338,parking lot,"{'global': 'place', 'local': '02q-place'}",2334743,Which place is it?,"['02810339', '02810341', '02810337', '02810336', '02810340']",['02810338'],02q-place,place,place
10198384,railroad,"{'global': 'road', 'local': '02q-place'}",150361,What place was the photo taken at?,['10198385'],['10198384'],02q-place,place,road
1055962,street,"{'global': 'place', 'local': '02q-place'}",2347470,Which place is it?,['1055961'],['1055962'],02q-place,place,place
1055961,street,"{'global': 'place', 'local': '02q-place'}",2347470,What place is it?,['1055962'],['1055961'],02q-place,place,place
13654151,street,"{'global': 'place', 'local': '02q-place'}",497930,What place was the photo taken at?,['13654152'],['13654151'],02q-place,place,place
1463377,airport,"{'global': 'place', 'local': '02q-place'}",2360427,Which place is it?,"['1463376', '1463378', '1463379', '1463381', '1463380', '1463382']",['1463377'],02q-place,place,place
09541939,town,"{'global': 'place', 'local': '02q-place'}",2381561,What place could this be?,['09541940'],['09541939'],02q-place,place,place
09522469,garage,"{'global': 'place', 'local': '02q-place'}",2381799,Which place is it?,"['09522470', '09522471', '09522472', '09522473', '09522468']",['09522469'],02q-place,place,place
031049513,field,"{'global': 'place', 'local': '02q-place'}",2338625,Which place is it?,"['031049512', '031049511', '031049517', '031049516', '031049515', '031049514']",['031049513'],02q-place,place,place
16681230,field,"{'global': 'place', 'local': '02q-place'}",2335162,Which place is it?,"['16681229', '16681231', '16681232', '16681233']",['16681230'],02q-place,place,place
08500368,yard,"{'global': 'place', 'local': '02q-place'}",2364202,What place could this be?,['08500369'],['08500368'],02q-place,place,place
08500369,yard,"{'global': 'place', 'local': '02q-place'}",2364202,Which place is it?,['08500368'],['08500369'],02q-place,place,place
05837053,pond,"{'global': 'place', 'local': '02q-place'}",2348237,Which place is it?,"['05837056', '05837055', '05837054', '05837052']",['05837053'],02q-place,place,place
131010103,street,"{'global': 'place', 'local': '02q-place'}",2326431,Which place is this picture at?,"['131010104', '131010102']","['131010102', '131010103']",02q-place,place,place
131010104,street,"{'global': 'place', 'local': '02q-place'}",2326431,Which place is it?,"['131010102', '131010103']",['131010104'],02q-place,place,place
04984077,street,"{'global': 'place', 'local': '02q-place'}",2359128,What place is shown?,['04984078'],['04984077'],02q-place,place,place
15582779,station,"{'global': 'place', 'local': '02q-place'}",497932,What is the photo showing?,['15582780'],['15582779'],02q-place,place,place
15251005,field,"{'global': 'place', 'local': '02q-place'}",2375623,Which place is it?,"['15251008', '15251009', '15251006', '15251007', '15251004']",['15251005'],02q-place,place,place
10189506,ocean,"{'global': 'place', 'local': '02q-place'}",2352340,Which place is it?,['10189505'],['10189506'],02q-place,place,place
01119616,park,"{'global': 'place', 'local': '02q-place'}",2333869,Which place is it?,"['01119617', '01119615', '01119618', '01119620', '01119619']",['01119616'],02q-place,place,place
19503781,path,"{'global': 'road', 'local': '02q-place'}",2389951,Which place is it?,"['19503780', '19503779']",['19503781'],02q-place,place,road
16128914,ocean,"{'global': 'place', 'local': '02q-place'}",2365292,Which place is it?,['16128913'],['16128914'],02q-place,place,place
15817887,sea,"{'global': 'place', 'local': '02q-place'}",2413184,What type of place is it?,"['15817888', '15817886']","['15817886', '15817887']",02q-place,place,place
121000151,street,"{'global': 'place', 'local': '02q-place'}",2401341,What is the picture showing?,"['121000150', '121000152']","['121000150', '121000151']",02q-place,place,place
14154706,shore,"{'global': 'place', 'local': '02q-place'}",2347681,What place is pictured?,['14154707'],['14154706'],02q-place,place,place
02943264,forest,"{'global': 'place', 'local': '02q-place'}",2350171,Which place is it?,"['02943268', '02943269', '02943265', '02943266', '02943267', '02943263']",['02943264'],02q-place,place,place
0132829,park,"{'global': 'place', 'local': '02q-place'}",2414396,Which place is it?,"['0132828', '0132827', '0132831', '0132830', '0132832']",['0132829'],02q-place,place,place
19864758,forest,"{'global': 'place', 'local': '02q-place'}",2347487,Which place is it?,"['19864759', '19864761', '19864760', '19864757']",['19864758'],02q-place,place,place
07621434,yard,"{'global': 'place', 'local': '02q-place'}",2387674,Which place is it?,"['07621432', '07621433']",['07621434'],02q-place,place,place
07621432,yard,"{'global': 'place', 'local': '02q-place'}",2387674,What place is it?,"['07621434', '07621433']","['07621432', '07621433']",02q-place,place,place
02510951,field,"{'global': 'place', 'local': '02q-place'}",2384346,Where was the photo taken?,"['02510956', '02510957', '02510954', '02510955', '02510952', '02510953']",['02510951'],02q-place,place,place
17176363,beach,"{'global': 'place', 'local': '02q-place'}",2340709,Which place is it?,"['17176365', '17176364', '17176367', '17176366', '17176362', '17176368']",['17176363'],02q-place,place,place
13456394,beach,"{'global': 'place', 'local': '02q-place'}",2317154,Which place is it?,"['13456398', '13456393', '13456395', '13456397', '13456396']",['13456394'],02q-place,place,place
